t,x1,y1,x2,y2,segmentationfailed
244,3332.2964725494385,3598.9965057373047,3332.2964725494385,3598.9965057373047,1
244,3332.3715438842773,3600.3108711242676,3332.3715324401855,3600.3108520507812,1
244,3334.3051052093506,3658.8499298095703,3334.2147369384766,3658.8207626342773,1
244,3335.011438369751,3681.0706939697266,3335.7175331115723,3680.0219345092773,1
244,3335.656036376953,3594.337106704712,3335.6456966400146,3594.396659851074,1
244,3335.9160537719727,3597.157669067383,3335.9160537719727,3597.157669067383,1
244,3335.978006362915,3662.052703857422,3335.3707218170166,3662.0640716552734,1
244,3336.4165172576904,3657.634117126465,3336.1763286590576,3657.59822845459,1
244,3337.5816822052,3597.3399696350098,3337.5816822052,3597.3399696350098,1
244,3337.734296798706,3594.8256969451904,3337.7396602630615,3594.826322555542,1
244,3337.734296798706,3594.8256969451904,3337.7396602630615,3594.826322555542,1
244,3337.865827560425,3598.0511627197266,3337.8658237457275,3598.0511627197266,1
244,3338.1171016693115,3683.0024490356445,3337.7964515686035,3682.179359436035,1
244,3338.9429721832275,3595.937536239624,3338.9429721832275,3595.937536239624,1
244,3338.9429721832275,3595.937536239624,3338.9429721832275,3595.937536239624,1
244,3339.1291675567627,3592.633008956909,3339.1291675567627,3592.633008956909,1
244,3339.303451538086,3632.9979858398438,3339.3046131134033,3632.9986572265625,1
244,3340.508068084717,3592.565450668335,3340.5081005096436,3592.565481185913,1
244,3340.8431510925293,3590.829765319824,3340.846290588379,3590.8366374969482,1
244,3342.158311843872,3662.343147277832,3340.5715770721436,3662.2903442382812,1
244,3342.1689414978027,3688.5128784179688,3341.1689414978027,3686.5128784179688,1
244,3342.853416442871,3589.636785507202,3342.847364425659,3589.6604404449463,1
244,3343.1689414978027,3690.5128784179688,3342.1689414978027,3688.5128784179688,1
244,3343.2788734436035,3678.1637268066406,3343.20858001709,3677.6242904663086,1
244,3343.2788734436035,3678.1637268066406,3343.20858001709,3677.6242904663086,1
244,3343.324354171753,3688.990020751953,3342.324354171753,3686.990020751953,1
244,3344.053123474121,3627.0670051574707,3343.628360748291,3627.495288848877,1
244,3344.082151412964,3688.2363815307617,3343.841579437256,3687.6896591186523,1
244,3344.796714782715,3689.635055541992,3343.841579437256,3687.6896591186523,1
244,3344.8765563964844,3626.649242401123,3344.947847366333,3626.5046005249023,1
244,3344.919366836548,3637.4322814941406,3345.824975967407,3634.638008117676,1
244,3345.2940769195557,3662.829002380371,3345.9389305114746,3662.5857162475586,1
244,3345.372360229492,3678.865592956543,3345.370346069336,3678.8669815063477,1
244,3346.0131072998047,3634.284622192383,3345.824975967407,3634.638008117676,1
244,3346.041534423828,3685.7878952026367,3346.1572341918945,3686.032485961914,1
244,3346.041534423828,3685.7878952026367,3346.1572341918945,3686.032485961914,1
244,3346.0924491882324,3678.1504669189453,3346.0948524475098,3678.0487365722656,1
244,3346.181541442871,3689.5087127685547,3346.181541442871,3689.5087127685547,1
244,3346.3476791381836,3681.940719604492,3346.3487701416016,3681.940269470215,1
244,3347.238742828369,3659.9996337890625,3346.2446517944336,3659.994270324707,1
244,3347.337257385254,3684.919692993164,3347.3379821777344,3684.9192810058594,1
244,3348.335102081299,3687.9213104248047,3348.335102081299,3687.9213104248047,1
244,3349.00390625,3691.8130798339844,3349.012870788574,3691.8168029785156,1
244,3349.384696960449,3692.042037963867,3349.364170074463,3692.0205993652344,1
244,3349.5221977233887,3690.0418853759766,3349.5221977233887,3690.0418853759766,1
244,3349.5221977233887,3690.0418853759766,3349.5221977233887,3690.0418853759766,1
244,3350.0162963867188,3625.4442291259766,3352.4139671325684,3626.624423980713,1
244,3350.715919494629,3649.889228820801,3350.9021072387695,3650.010971069336,1
244,3351.343376159668,3652.583915710449,3351.3241691589355,3652.5780715942383,1
244,3351.4560508728027,3655.1309967041016,3351.461845397949,3654.0910263061523,1
244,3351.982666015625,3680.900260925293,3352.0011863708496,3682.0541458129883,1
244,3352.1137657165527,3638.0747833251953,3352.159782409668,3639.233139038086,1
244,3352.16215133667,3669.918785095215,3352.155750274658,3669.910873413086,1
244,3352.162197113037,3674.581199645996,3352.1657752990723,3675.576431274414,1
244,3352.359561920166,3671.5958557128906,3352.3326263427734,3671.5793533325195,1
244,3352.359561920166,3672.9041442871094,3352.3325271606445,3673.9206619262695,1
244,3352.3689041137695,3643.914291381836,3351.346492767334,3639.91414642334,1
244,3352.3922080993652,3626.836368560791,3352.4139671325684,3626.624423980713,1
244,3352.993640899658,3643.530990600586,3353.0090942382812,3644.5061798095703,1
244,3353.126163482666,3680.553581237793,3353.130874633789,3681.5561904907227,1
244,3353.2543754577637,3672.2110748291016,3353.1981773376465,3672.909019470215,1
244,3353.4660568237305,3685.8199157714844,3353.865867614746,3686.8152923583984,1
244,3353.804386138916,3662.6108627319336,3353.841281890869,3664.4287033081055,1
244,3354.0630111694336,3648.8433227539062,3354.100685119629,3649.893730163574,1
244,3354.0911254882812,3686.541633605957,3353.130874633789,3681.5561904907227,1
244,3354.2943382263184,3623.996913909912,3353.286178588867,3624.001079559326,1
244,3355.1310386657715,3661.590721130371,3353.9959449768066,3657.681541442871,1
244,3355.3617401123047,3659.9327239990234,3355.361988067627,3659.9318618774414,1
244,3356.104522705078,3677.056930541992,3356.048931121826,3677.860382080078,1
244,3357.0894813537598,3663.345016479492,3357.0802268981934,3663.6884231567383,1
244,3357.59090423584,3619.802989959717,3356.2474250793457,3619.850517272949,1
244,3358.1625900268555,3669.6334533691406,3358.1069107055664,3669.352394104004,1
244,3358.227039337158,3660.7160568237305,3358.189723968506,3660.5336837768555,1
244,3360.2964668273926,3622.9965057373047,3359.2964668273926,3622.9965057373047,1
244,3360.4425621032715,3624.3123359680176,3359.762466430664,3624.3205947875977,1
244,3366.2935180664062,3621.9953994750977,3365.2961387634277,3621.996292114258,1
244,3369.1576652526855,3609.5839462280273,3369.1576652526855,3611.5839462280273,1
246,3315.4539320468903,3669.635238647461,3315.453565120697,3669.635040283203,1
246,3316.119042158127,3648.950050354004,3316.119042158127,3648.950050354004,1
246,3317.051420688629,3683.539894104004,3317.0244150161743,3683.5407791137695,1
246,3317.139588356018,3649.9825744628906,3317.139588356018,3649.9825744628906,1
246,3318.5583329200745,3649.008056640625,3318.5583329200745,3649.008056640625,1
246,3319.9934430122375,3685.698989868164,3319.3854932785034,3685.903366088867,1
